created_at,sku_id,store_id,inventory,selling_price,mrp,prev_inventory
"2025-03-01 06:33:42",547731,29650,6,93,99,6
"2025-03-03 18:38:20",547731,29650,5,93,99,6
"2025-03-04 01:30:35",547731,29650,5,93,99,5
"2025-03-04 08:31:57",547731,29650,5,93,99,5
"2025-03-04 12:23:39",547731,29650,3,93,99,5
"2025-03-04 18:26:13",547731,29650,3,93,99,3
"2025-03-05 01:03:19",547731,29650,3,93,99,3
"2025-03-05 06:26:34",547731,29650,4,93,99,3
"2025-03-05 12:28:33",547731,29650,3,93,99,4
"2025-03-05 18:25:24",547731,29650,3,93,99,3
"2025-03-06 01:01:11",547731,29650,3,93,99,3
"2025-03-06 06:22:10",547731,29650,3,93,99,3
"2025-03-06 12:27:54",547731,29650,3,93,99,3
"2025-03-06 18:22:49",547731,29650,3,93,99,3
"2025-03-07 00:51:43",547731,29650,3,93,99,3
"2025-03-07 07:03:55",547731,29650,3,93,99,3
"2025-03-07 12:31:29",547731,29650,3,93,99,3
"2025-03-07 18:20:50",547731,29650,3,93,99,3
"2025-03-08 00:51:23",547731,29650,3,93,99,3
"2025-03-08 06:17:31",547731,29650,3,93,99,3
"2025-03-08 12:22:21",547731,29650,2,93,99,3
"2025-03-08 18:20:13",547731,29650,2,93,99,2
"2025-03-09 00:57:22",547731,29650,2,93,99,2
"2025-03-09 06:24:21",547731,29650,2,93,99,2
"2025-03-09 12:26:11",547731,29650,2,93,99,2
"2025-03-09 18:56:47",547731,29650,6,93,99,2
"2025-03-10 00:53:16",547731,29650,6,93,99,6
"2025-03-10 06:22:54",547731,29650,6,93,99,6
"2025-03-10 12:31:59",547731,29650,6,93,99,6
"2025-03-10 18:26:35",547731,29650,5,93,99,6
"2025-03-11 01:04:11",547731,29650,5,93,99,5
"2025-03-11 06:25:55",547731,29650,5,93,99,5
"2025-03-11 12:23:54",547731,29650,5,93,99,5
"2025-03-11 18:30:02",547731,29650,4,93,99,5
"2025-03-12 01:02:12",547731,29650,4,93,99,4
"2025-03-12 06:30:17",547731,29650,4,93,99,4
"2025-03-12 12:39:05",547731,29650,4,93,99,4
"2025-03-12 18:27:47",547731,29650,4,93,99,4
"2025-03-13 01:05:28",547731,29650,4,93,99,4
"2025-03-13 06:28:41",547731,29650,4,93,99,4
"2025-03-13 12:33:55",547731,29650,4,93,99,4
"2025-03-16 07:10:36",547731,29650,8,93,99,4
"2025-03-16 12:32:02",547731,29650,8,93,99,8
"2025-03-16 18:20:28",547731,29650,8,93,99,8
"2025-03-17 01:30:28",547731,29650,8,93,99,8
"2025-03-17 12:33:53",547731,29650,7,93,99,8
"2025-03-17 18:31:26",547731,29650,7,93,99,7
"2025-03-18 01:05:49",547731,29650,7,93,99,7
"2025-03-18 06:28:45",547731,29650,7,93,99,7
"2025-03-18 12:29:30",547731,29650,7,93,99,7
"2025-03-18 18:25:29",547731,29650,7,93,99,7
"2025-03-19 01:18:49",547731,29650,7,93,99,7
"2025-03-19 12:36:30",547731,29650,7,93,99,7
"2025-03-19 18:31:36",547731,29650,7,93,99,7
"2025-03-20 01:04:35",547731,29650,7,93,99,7
"2025-03-20 06:30:50",547731,29650,7,93,99,7
"2025-03-20 14:15:16",547731,29650,7,93,99,7
"2025-03-20 18:30:16",547731,29650,7,93,99,7
"2025-03-21 02:06:47",547731,29650,7,93,99,7
"2025-03-21 12:36:12",547731,29650,5,93,99,7
"2025-03-21 18:31:49",547731,29650,5,93,99,5
"2025-03-22 01:13:27",547731,29650,5,93,99,5
"2025-03-22 06:35:20",547731,29650,5,93,99,5
"2025-03-22 12:28:56",547731,29650,2,93,99,5
"2025-03-22 18:36:51",547731,29650,2,93,99,2
"2025-03-23 07:34:01",547731,29650,7,93,99,2
"2025-03-23 12:30:05",547731,29650,7,93,99,7
"2025-03-23 18:27:01",547731,29650,7,93,99,7
"2025-03-24 04:11:37",547731,29650,7,93,99,7
