"store_id","city_name"
"33924",Dehradun
"33926",Bengaluru
"33928",Jaipur
"33962",Mohali
"33964",Gurgaon
"33966",Bengaluru
"33968",Agra
"33970",Goa
"33972",Meerut
"33974",Bengaluru
"33978",Kolkata
"33980",Gurgaon
"33982",Delhi
"33988",Chennai
"33990",Delhi
"33992",Bengaluru
"33994",Hyderabad
"33996",Delhi
"33998",Ahmedabad
"34000",Delhi
"34002",Goa
"34006",Delhi
"34008",Hyderabad
"34010",Pune
"34012",Lucknow
"34014",Noida
"34016",Zirakpur
"34018",Noida
"34020",Delhi
"34022",Vadodara
"34024",Ahmedabad
"34026",Ahmedabad
"34028",Vadodara
"34030",Ahmedabad
"34032",Gurgaon
"34034",Hyderabad
"34036",Mumbai
"34104",Pune
"34106",Goa
"34108",Noida
"34110",Gurgaon
"34112",Ahmedabad
"34114",Jalandhar
"34116",Mumbai
"34118",Noida
"34120",Chandigarh
"34122",Jalandhar
"34124",Hyderabad
"34126",Gurgaon
"34128",Mohali
"34130",Noida
"34134",Bengaluru
"34136",Kolkata
"34138",Mumbai
"34140",Hyderabad
"34142",Gurgaon
"34144",Delhi
"34146",Pune
"34180",Delhi
"34184",Hyderabad
"34218",Gurgaon
"34220",Delhi
"34222",Jaipur
"34224",Kanpur
"34258",Ahmedabad
"34260",Ahmedabad
"34262",Bengaluru
"34264",Delhi
"34268",Mumbai
"34270",Kolkata
"34272",Mumbai
"34274",Pune
"34276",Hyderabad
"34278",Delhi
"34280",Delhi
"34282",Mumbai
"34284",Hyderabad
"34286",Mumbai
"34288",Bengaluru
"34290",Ghaziabad
"34292",Mumbai
"34294",Pune
"34296",Ahmedabad
"34300",Delhi
"34302",Hyderabad
"34304",Hyderabad
"34338",Hyderabad
"34340",Sonipat
"34342",Kota
"34344",Goa
"34346",Noida
"34348",Bengaluru
"34350",Bengaluru
"34352",Ludhiana
"34354",Bhiwadi
"34356",Mumbai
"34358",Meerut
"34360",Noida
"34394",Mumbai
"34396",Patiala
"34398",Kanpur
"34400",Gurgaon
"34402",Ahmedabad
"34404",Delhi
"34406",Hyderabad
"34408",Gurgaon
"34410",Mumbai
"34412",Agra
"34414",Noida
"34416",Ghaziabad
"34418",Delhi
"34420",Delhi
"34422",Delhi
"34424",Lucknow
"34492",Mumbai
"34527",Delhi
"34529",Mumbai
"34530",Patiala
"34532",Mumbai
"34536",Kharar
"34538",Chennai
"34540",Bengaluru
"34542",Bengaluru
"34544",Bengaluru
"34546",Bengaluru
"34552",Hyderabad
"34554",Delhi
"34556",Mumbai
"34558",Mumbai
"34594",Goa
"34596",Delhi
"34600",Noida
"34602",Chennai
"34606",Hyderabad
"34608",Kolkata
"34610",Bengaluru
"34612",Bengaluru
"34614",Ghaziabad
"34616",Dera Bassi
"34652",Mumbai
"34654",Mumbai
"34656",Kolkata
"34658",Bengaluru
"34660",Hyderabad
