date,sku_id,store_id,selling_price,mrp,est_qty_sold,city_name
2025-03-01,547731,29581,93,99,0,Delhi
2025-03-01,547731,29581,93,99,0,Delhi
2025-03-04,547731,29581,93,99,0,Delhi
2025-03-04,547731,29581,93,99,0,Delhi
2025-03-04,547731,29581,93,99,0,Delhi
2025-03-04,547731,29581,93,99,2,Delhi
2025-03-05,547731,29581,93,99,0,Delhi
2025-03-05,547731,29581,93,99,0,Delhi
2025-03-05,547731,29581,93,99,0,Delhi
2025-03-05,547731,29581,93,99,0,Delhi
2025-03-06,547731,29581,93,99,0,Delhi
2025-03-06,547731,29581,93,99,1,Delhi
2025-03-06,547731,29581,93,99,0,Delhi
2025-03-06,547731,29581,93,99,1,Delhi
2025-03-07,547731,29581,93,99,0,Delhi
2025-03-07,547731,29581,93,99,0,Delhi
2025-03-07,547731,29581,93,99,0,Delhi
2025-03-07,547731,29581,93,99,0,Delhi
2025-03-08,547731,29581,93,99,0,Delhi
2025-03-08,547731,29581,93,99,0,Delhi
2025-03-08,547731,29581,93,99,0,Delhi
2025-03-08,547731,29581,93,99,0,Delhi
2025-03-09,547731,29581,93,99,0,Delhi
2025-03-09,547731,29581,93,99,0,Delhi
2025-03-09,547731,29581,93,99,0,Delhi
2025-03-09,547731,29581,93,99,0,Delhi
2025-03-10,547731,29581,93,99,0,Delhi
2025-03-10,547731,29581,93,99,0,Delhi
2025-03-10,547731,29581,93,99,0,Delhi
2025-03-10,547731,29581,93,99,1,Delhi
2025-03-11,547731,29581,93,99,0,Delhi
2025-03-11,547731,29581,93,99,0,Delhi
2025-03-11,547731,29581,93,99,0,Delhi
2025-03-11,547731,29581,93,99,0,Delhi
2025-03-12,547731,29581,93,99,0,Delhi
2025-03-12,547731,29581,93,99,0,Delhi
2025-03-12,547731,29581,93,99,1,Delhi
2025-03-12,547731,29581,93,99,0,Delhi
2025-03-13,547731,29581,93,99,0,Delhi
2025-03-13,547731,29581,93,99,0,Delhi
2025-03-13,547731,29581,93,99,2,Delhi
2025-03-16,547731,29581,93,99,0,Delhi
2025-03-16,547731,29581,93,99,0,Delhi
2025-03-16,547731,29581,93,99,0,Delhi
2025-03-17,547731,29581,93,99,0,Delhi
2025-03-17,547731,29581,93,99,0,Delhi
2025-03-17,547731,29581,93,99,0,Delhi
2025-03-18,547731,29581,93,99,0,Delhi
2025-03-18,547731,29581,93,99,0,Delhi
2025-03-18,547731,29581,93,99,0,Delhi
2025-03-18,547731,29581,93,99,0,Delhi
2025-03-19,547731,29581,93,99,0,Delhi
2025-03-19,547731,29581,93,99,1,Delhi
2025-03-19,547731,29581,93,99,0,Delhi
2025-03-20,547731,29581,93,99,0,Delhi
2025-03-20,547731,29581,93,99,1,Delhi
2025-03-20,547731,29581,93,99,0,Delhi
2025-03-20,547731,29581,93,99,0,Delhi
2025-03-21,547731,29581,93,99,0,Delhi
2025-03-21,547731,29581,93,99,0,Delhi
2025-03-21,547731,29581,93,99,0,Delhi
2025-03-22,547731,29581,93,99,0,Delhi
2025-03-22,547731,29581,93,99,0,Delhi
2025-03-22,547731,29581,93,99,0,Delhi
2025-03-22,547731,29581,93,99,3,Delhi
2025-03-23,547731,29581,93,99,0,Delhi
2025-03-23,547731,29581,93,99,0,Delhi
2025-03-23,547731,29581,93,99,0,Delhi
2025-03-24,547731,29581,93,99,0,Delhi
2025-03-24,547731,29581,93,99,0,Delhi
